year,title_cn,fund_project,fund_project_clean,topic_en,topic_ru,domain_en,domain_ru,field_en,field_ru,subfield_en,subfield_ru
2023,美国联邦政府资助和管理阿尔茨海默病研究项目的实践与启示,中国科学院战略研究专项项目（GHJ-ZLZX-2022-22-3），中国科学院条件保障与财务局委托项目（E2J0471601）,中国科学院战略研究专项项目,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
2023,美国联邦政府资助和管理阿尔茨海默病研究项目的实践与启示,中国科学院战略研究专项项目（GHJ-ZLZX-2022-22-3），中国科学院条件保障与财务局委托项目（E2J0471601）, 中国科学院条件保障与财务局委托项目,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006），国家重点研发计划项目（2017YFC0804304）,国家自然科学基金重点资助项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006），国家重点研发计划项目（2017YFC0804304）,国家自然科学基金重点资助项目,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006），国家重点研发计划项目（2017YFC0804304）, 国家重点研发计划项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,新形势下我国能源高质量发展与能源安全,国家自然科学基金重点资助项目（51834006），国家重点研发计划项目（2017YFC0804304）, 国家重点研发计划项目,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金重大项目（71991480），国家自然科学基金委员会基础科学中心项目（72088101），国家自然科学基金重大研究计划集成项目（92162321）,国家自然科学基金重大项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金重大项目（71991480），国家自然科学基金委员会基础科学中心项目（72088101），国家自然科学基金重大研究计划集成项目（92162321）, 国家自然科学基金委员会基础科学中心项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,国际动荡局势对我国能源资源安全的挑战与应对策略,国家自然科学基金重大项目（71991480），国家自然科学基金委员会基础科学中心项目（72088101），国家自然科学基金重大研究计划集成项目（92162321）, 国家自然科学基金重大研究计划集成项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,我国煤炭主体能源安全高质量发展的理论技术思考,中国工程院重大咨询项目（2022-XBZD-09）,中国工程院重大咨询项目,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,我国煤炭主体能源安全高质量发展的理论技术思考,中国工程院重大咨询项目（2022-XBZD-09）,中国工程院重大咨询项目,Clean and Efficient Utilization of Coal and Natural Gas,Чистое и эффективное использование угля и природного газа,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）,国家重点研发计划,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
